,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,0,2017-09-03,0.615,0.779,2,-6.454,1,0.0665,0.0,0.155,0.453,160.0,208198,4
1,4Vxu50qVrQcycjRyJQaZLC,Life Changes,Thomas Rhett,63,2017-09-08,0.687,0.845,7,-4.37,1,0.1,0.0,0.0452,0.809,87.972,190227,4
2,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,77,2016-11-17,0.818,0.803,1,-4.282,1,0.034,0.0,0.153,0.632,106.97,225983,4
3,0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,77,2017-03-03,0.624,0.876,9,-3.374,1,0.0735,0.0,0.327,0.781,99.943,170827,4
4,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,83,2014-06-21,0.614,0.379,4,-10.48,1,0.607,0.000464,0.0986,0.201,107.989,258987,4
5,0ofbQMrRDsUaVKq2mGLEAb,Havana (feat. Young Thug),Young Thug,1,2017-08-03,0.768,0.517,7,-4.323,0,0.186,3.8e-05,0.104,0.418,104.992,216897,4
6,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,83,2012-12-07,0.612,0.28,0,-8.648,1,0.932,0.0,0.088,0.387,72.795,213827,4
7,6C2PfemHQul77DVpnvuAIs,Gonna Fly Now,Bill Conti,53,1982-01-01,0.415,0.538,9,-12.71,0,0.4,0.767,0.0674,0.449,95.121,170240,4
8,3PGdPUMdUg7a3Tgr5gkfKK,Don't Wanna Know (feat. Kendrick Lamar),Kendrick Lamar,0,2017-11-03,0.776,0.62,7,-6.198,1,0.341,0.0,0.0978,0.427,100.025,214265,4
9,34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,81,2014-06-21,0.781,0.445,2,-6.061,1,0.474,0.0,0.184,0.591,78.998,281560,4
10,3528IXKpbb7OMjdjWYlbfD,Everybody Talks,Neon Trees,51,2012-01-01,0.471,0.924,8,-3.906,1,0.00301,0.0,0.313,0.725,154.961,177280,4
11,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,59,2012-10-22,0.628,0.676,7,-5.911,1,0.00957,2.65e-05,0.102,0.75,85.984,191880,4
12,273dCMFseLcVsoSWx59IoE,Bad Blood,Taylor Swift,65,2014-10-27,0.65,0.802,7,-6.114,1,0.0871,6.54e-06,0.148,0.295,170.146,211933,4
13,1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),will.i.am,68,2012-09-10,0.421,0.873,10,-4.343,1,0.0654,0.0,0.123,0.629,84.786,202533,4
14,1LmN9SSHISbtp9LoaR5ZVJ,Payphone,Wiz Khalifa,71,2021-06-20,0.739,0.756,4,-4.828,1,0.0136,0.0,0.37,0.523,110.028,231387,4
15,2iuZJX9X9P0GKaE93xcPjk,Sugar,Maroon 5,80,2014-09-02,0.748,0.788,1,-7.055,1,0.0591,0.0,0.0863,0.884,120.076,235493,4
16,0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,Sugarland,67,2010-01-01,0.702,0.795,1,-4.764,1,0.329,0.0,0.0505,0.836,83.961,247587,4
17,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,82,2016-11-17,0.853,0.56,1,-4.961,1,0.013,0.0,0.0944,0.86,134.066,206693,4
18,2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,One Direction,78,2014-11-17,0.536,0.768,10,-5.948,0,0.00433,0.0,0.114,0.545,77.217,228133,4
19,72Q0FQQo32KJloivv5xge2,I'm the One,Lil Wayne,0,2017-04-27,0.599,0.667,7,-4.267,1,0.0533,0.0,0.134,0.817,80.984,288877,4
20,59HjlYCeBsxdI0fcm3zglw,Wildest Dreams,Taylor Swift,71,2014-10-27,0.554,0.666,8,-7.414,1,0.0702,0.00593,0.106,0.472,140.056,220440,4
21,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,79,2017-04-27,0.799,0.539,1,-6.351,1,0.199,1.66e-05,0.165,0.394,136.948,202547,4
22,1D1nixOVWOxvNfWi0UD7VX,Unwritten,Natasha Bedingfield,2,2004-09-06,0.706,0.8,5,-6.333,1,0.00584,0.0,0.0822,0.629,100.011,259333,4
23,3zSCNTXI7Ed0PiidZVmzIe,Ignition - Remix,R. Kelly,62,2014-05-19,0.778,0.549,1,-6.144,1,0.0549,0.0,0.0724,0.802,133.041,186040,4
24,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',Tom Petty,76,1989-01-01,0.623,0.449,5,-13.333,1,0.212,0.0,0.0613,0.572,84.383,256000,4
